cat,name,ra,dec,size,bri
IC,2973,11h53m48s,+33d21m00s,1.5,1
IC,2974,11h53m54s,-05d09m00s,2.8,2
IC,2977,11h55m12s,-37d42m00s,2.0,2
IC,2978,11h56m24s,+32d01m00s,1.1,1
IC,2980,11h57m30s,-73d41m00s,2.0,2
IC,2986,11h59m48s,+30d52m00s,0.6,1
IC,2989,12h04m42s,+01d47m00s,1.1,1
IC,2990,12h04m42s,+11d02m00s,0.6,1
IC,2995,12h05m48s,-27d56m00s,3.1,1
IC,2996,12h05m54s,-30d00m00s,0.8,1
IC,3001,12h06m12s,+33d31m00s,0.7,1
IC,3002,12h07m06s,+33d22m00s,0.5,1
IC,3004,12h07m12s,+13d14m00s,0.9,1
IC,3005,12h07m12s,-30d01m00s,2.2,2
IC,3008,12h08m00s,+13d33m00s,0.8,1
IC,3010,12h07m54s,-30d20m00s,1.9,2
IC,3011,12h08m12s,+10d22m00s,3.8,2
IC,3013,12h08m30s,+10d01m00s,0.8,1
IC,3014,12h08m30s,+38d49m00s,1.1,1
IC,3015,12h09m00s,-31d31m00s,3.0,2
IC,3021,12h10m00s,+13d01m00s,1.8,1
IC,3022,12h09m54s,+38d43m00s,0.2,1
IC,3024,12h10m18s,+12d18m00s,1.2,1
IC,3025,12h10m24s,+10d11m00s,0.4,1
IC,3029,12h10m48s,+13d19m00s,1.5,1
IC,3033,12h11m06s,+13d35m00s,1.2,1
IC,3036,12h12m12s,+12d28m00s,1.8,1
IC,3039,12h12m30s,+12d18m00s,1.0,1
IC,3040,12h12m42s,+11d04m00s,0.6,1
IC,3044,12h12m48s,+13d59m00s,2.1,2
IC,3046,12h13m06s,+12d55m00s,1.2,1
IC,3049,12h13m30s,+14d29m00s,1.1,1
IC,3050,12h13m42s,+13d26m00s,2.0,1
IC,3059,12h14m54s,+13d28m00s,1.7,2
IC,3060,12h15m00s,+12d31m00s,0.3,1
IC,3061,12h15m06s,+14d02m00s,2.3,1
IC,3062,12h15m06s,+13d35m00s,1.0,1
IC,3063,12h15m06s,+12d00m00s,1.0,1
IC,3064,12h15m12s,+13d01m00s,5.3,1
IC,3065,12h15m12s,+14d26m00s,0.5,2
IC,3066,12h15m18s,+13d28m00s,1.0,1
IC,3073,12h15m36s,+13d36m00s,1.0,1
IC,3074,12h15m42s,+10d41m00s,2.3,1
IC,3075,12h15m48s,+23d35m00s,0.7,1
IC,3077,12h16m06s,+14d24m00s,0.2,2
IC,3080,12h16m12s,+14d13m00s,0.3,2
IC,3084,12h16m18s,+23d54m00s,0.4,1
IC,3089,12h16m24s,+23d49m00s,0.4,1
IC,3094,12h16m54s,+13d37m00s,0.6,1
IC,3095,12h16m54s,+23d56m00s,0.5,1
IC,3096,12h16m54s,+14d31m00s,1.0,2
IC,3099,12h17m06s,+12d27m00s,2.1,1
IC,3104,12h18m48s,-79d44m00s,4.7,2
IC,3105,12h17m36s,+12d23m00s,1.8,1
IC,3107,12h17m48s,+10d50m00s,1.5,1
IC,3112,12h17m48s,+26d01m00s,1.3,2
IC,3115,12h18m00s,+06d39m00s,1.7,1
IC,3118,12h18m12s,+09d30m00s,1.6,1
IC,3122,12h18m18s,+25d13m00s,1.5,1
IC,3127,12h18m30s,+11d51m00s,0.6,1
IC,3131,12h18m48s,+07d51m00s,0.6,1
IC,3136,12h19m00s,+06d11m00s,1.2,2
IC,3148,12h19m18s,+07d52m00s,0.8,1
IC,3149,12h19m18s,+12d18m00s,0.5,1
IC,3152,12h19m36s,-26d09m00s,2.0,2
IC,3155,12h19m48s,+06d00m00s,1.1,2
IC,3156,12h19m42s,+09d09m00s,0.6,1
IC,3165,12h20m00s,+27d58m00s,2.0,1
IC,3170,12h20m24s,+09d25m00s,0.4,1
IC,3171,12h20m18s,+25d32m00s,0.3,1
IC,3186,12h20m54s,+24d40m00s,0.4,1
IC,3188,12h20m54s,+11d01m00s,0.4,1
IC,3193,12h20m54s,+27d54m00s,0.8,1
IC,3199,12h21m42s,+10d36m00s,1.1,1
IC,3203,12h21m42s,+25d53m00s,1.5,1
IC,3211,12h22m06s,+08d59m00s,1.1,1
IC,3215,12h22m06s,+26d03m00s,2.0,1
