name,ra,dec,size,mag
297,14h45m14s,+38d43m44s,0.5,15.3
297,14h45m19s,+38d48m21s,0.4,14.8
297,14h45m20s,+38d43m53s,2.0,13.1
297,14h45m24s,+38d46m49s,1.3,14.1
298,23h03m16s,+08d52m26s,1.5,12.3
298,23h03m18s,+08d53m36s,0.8,13.8
299,11h28m33s,+58d33m47s,2.1,11.5
299,11h28m37s,+58d33m28s,1.2,11.3
300,09h28m03s,+68d25m17s,1.6,13.4
300,09h27m50s,+68d24m47s,0.7,13.9
301,11h09m52s,+24d15m44s,0.8,14.5
301,11h09m54s,+24d15m25s,1.5,14.6
302,14h57m01s,+24d37m01s,0.7,14.6
302,14h57m00s,+24d36m20s,0.9,15.3
303,09h46m20s,+03d02m41s,0.9,14.7
303,09h46m21s,+03d04m14s,1.7,14.1
304,03h11m19s,-08d54m07s,1.2,13.7
304,03h11m15s,-08d55m20s,2.8,12.0
305,11h58m29s,+27d31m44s,1.6,13.3
305,11h58m46s,+27d27m11s,1.8,12.2
306,01h32m29s,+04d35m45s,1.3,14.6
306,01h32m42s,+04d38m24s,0.9,14.5
307,09h25m42s,+11d25m55s,2.1,11.9
307,09h25m47s,+11d25m28s,2.4,12.5
308,01h26m01s,-01d20m44s,1.3,12.2
308,01h26m00s,-01d20m25s,2.4,12.2
309,02h29m09s,-10d49m37s,3.4,11.4
309,02h29m10s,-10d50m10s,3.4,11.2
311,17h27m32s,+58d28m33s,0.6,15.8
311,17h27m17s,+58d29m08s,0.9,14.4
312,16h49m48s,+46d43m05s,1.1,14.1
313,11h57m37s,+32d16m41s,1.1,12.7
313,11h57m45s,+32d17m42s,2.8,12.4
314,22h58m07s,-03d47m23s,1.3,13.8
314,22h58m01s,-03d46m08s,1.1,13.7
314,22h58m11s,-03d48m55s,1.1,16.0
315,09h19m47s,+33d45m00s,2.4,11.9
315,09h19m45s,+33d44m40s,1.4,12.3
316,10h18m25s,+21d53m34s,3.0,10.9
316,10h17m48s,+21d52m23s,3.0,13.4
316,10h18m06s,+21d49m53s,4.4,12.0
317,11h20m16s,+13d35m22s,14.8,9.5
317,11h18m55s,+13d05m35s,9.9,9.3
318,02h09m21s,-10d08m00s,1.5,12.7
318,02h09m25s,-10d08m09s,1.3,12.1
318,02h09m38s,-10d08m48s,1.2,13.4
318,02h09m43s,-10d11m02s,1.5,13.1
319,22h36m04s,+33d56m41s,2.2,12.6
319,22h35m58s,+33d57m58s,1.9,13.4
319,22h35m57s,+33d57m56s,0.9,13.4
319,22h35m52s,+33d56m41s,1.1,13.6
319,22h36m04s,+33d58m33s,1.7,13.1
320,11h37m49s,+22d01m33s,0.7,14.8
320,11h37m44s,+22d00m33s,1.1,14.2
320,11h37m45s,+22d01m15s,0.4,15.2
320,11h37m52s,+21d58m27s,0.8,13.9
320,11h37m54s,+21d58m51s,1.7,13.6
320,11h37m54s,+21d56m10s,0.8,13.9
320,11h37m55s,+21d59m08s,0.4,15.1
321,09h38m53s,-04d51m34s,1.1,13.8
321,09h38m56s,-04d50m14s,0.9,15.0
321,09h38m55s,-04d51m28s,0.7,17.4
321,09h38m55s,-04d51m58s,1.1,15.1
321,09h38m53s,-04d50m56s,1.4,15.7
322,11h32m40s,+52d57m01s,1.1,15.0
323,23h54m10s,+00d22m58s,1.3,13.0
323,23h54m12s,+00d22m38s,0.4,14.0
324,16h02m09s,+15d53m17s,0.8,15.5
324,16h02m13s,+15d56m14s,0.6,15.1
325,22h06m22s,-21d04m21s,1.7,18.1
326,13h37m19s,+06d28m44s,1.2,15.4
327,05h21m46s,+06d41m19s,1.6,13.6
328,14h47m57s,+19d02m41s,0.3,16.1
328,14h47m55s,+19d03m37s,0.6,16.1
328,14h47m55s,+19d03m04s,0.3,18.6
328,14h47m56s,+19d03m24s,0.2,16.0
328,14h47m53s,+19d04m37s,0.5,16.1
331,01h07m16s,+32d31m17s,1.4,12.6
331,01h07m25s,+32d17m34s,1.1,13.0
331,01h07m24s,+32d24m13s,0.7,14.0
331,01h07m25s,+32d24m45s,1.6,11.9
331,01h07m28s,+32d19m16s,1.1,12.9
331,01h07m31s,+32d21m44s,0.9,14.1
331,01h07m47s,+32d18m36s,0.9,14.3
331,01h07m18s,+32d29m02s,1.4,12.5
332,03h08m28s,-23d03m04s,2.0,13.2
332,03h08m26s,-23d02m17s,0.6,16.8
332,03h08m16s,-22d59m03s,0.6,15.4
332,03h08m11s,-22d55m28s,1.5,13.2
332,03h08m11s,-22d57m37s,1.4,13.9
333,02h39m12s,+10d50m50s,3.9,12.1
334,13h30m26s,+31d37m13s,2.8,13.6
335,11h04m24s,+04d49m49s,2.1,12.7
336,08h55m35s,+58d44m01s,4.5,11.2
337,09h55m52s,+69d40m46s,11.4,8.4
